temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
26.791332,79.64634,22.735083,0.42083335,0.42083335,1003.9287,46.333332,0.21070924,0.8018737,7.57617,12.139534,243.3394,16.59,0.16129167,0.121125
27.815416,69.73356,21.259167,0.15416667,0.15416667,995.9485,56.666668,0.23240377,1.264227,5.523959,7.7048197,228.71867,18.39,0.091416664,0.070125
31.480667,55.09222,20.0265,0.0,0.0,1006.46326,15.875,0.30073297,2.3523018,10.34719,15.938831,159.05911,25.05,0.13420834,0.11766666
28.282417,77.13691,23.590752,0.3333333,0.3333333,1005.88275,82.958336,0.18962532,0.9730795,7.034181,11.70643,112.735664,18.224998,0.410125,0.38075
28.21425,72.79304,22.058,0.004166667,0.004166667,990.3789,18.416666,0.25207886,1.2458227,13.267616,20.188341,148.91734,28.095,0.28854167,0.263
30.259916,60.855324,21.366167,0.275,0.275,997.82764,78.083336,0.22309978,1.8263286,6.799184,10.946838,156.54991,17.849998,0.15216666,0.12183333
24.23475,86.31016,21.632668,0.09166667,0.09166667,960.2381,59.791668,0.16442929,0.4678403,5.7872734,7.98499,112.13475,17.369999,0.234875,0.16420834
25.3355,79.8502,21.10425,0.06666667,0.06666667,957.9936,95.75,0.19802184,0.7868252,3.5961483,5.5021663,184.18701,13.155,0.37679166,0.26716667
30.259916,60.855324,21.366167,0.275,0.275,997.82764,78.083336,0.22309978,1.8263286,6.799184,10.946838,156.54991,17.849998,0.15216666,0.12183333
27.301167,86.10134,24.682417,0.108333334,0.108333334,1009.1085,98.791664,0.17271738,0.54287094,4.4359202,5.605352,181.5053,13.094999,0.30941665,0.27091667
28.958332,74.23208,23.595833,0.075,0.075,1007.46094,61.5,0.2340983,1.1138524,10.312452,15.769154,109.3802,21.48,0.167,0.157875
27.496668,74.735085,22.2425,0.074999996,0.074999996,998.36865,51.916668,0.20715536,1.0477759,5.490778,7.844138,243.75069,15.254999,0.107666664,0.073
25.99725,91.995384,24.530582,0.5416667,0.5416667,1007.5632,99.125,0.14047678,0.2913312,4.301973,5.40668,207.39003,12.405,0.46995834,0.42616665
29.371166,65.14091,21.27325,0.19583334,0.19583334,1000.9597,62.166668,0.2300112,1.6589589,7.764493,10.47128,170.15007,18.39,0.25170833,0.27850002
26.646418,86.15056,24.133917,0.041666668,0.041666668,1010.2674,55.583332,0.19429095,0.48454523,14.420583,16.885784,122.05827,18.795,0.0,0.0
27.732666,77.73941,23.05975,0.045833334,0.045833334,1008.17664,62.458332,0.19683854,0.9535253,4.5692544,6.654603,88.48405,13.184999,0.18225,0.14533333
24.54725,83.921844,21.426416,0.16666667,0.16666667,959.7096,56.041668,0.17855433,0.56439614,5.3523607,7.7133017,109.62797,16.619999,0.237,0.16404167
26.882418,85.95764,24.188667,0.55,0.55,1006.37524,91.916664,0.18994206,0.556563,4.5937104,6.986176,244.11438,12.434999,0.220375,0.19745834
