Provinsi,Kab/Kota,Tanggal,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,Kebakaran
Kepulauan Riau,Karimun,2024-03-17,1.0002709,103.4284711,28.391333,75.86061,23.585083,0.033333335,0.033333335,1007.16785,73.541664,0.2171556,0.97008884,13.105877,18.608496,79.84298,29.099998,0.26316667,0.29595834,Yes
Sumatera Utara,Asahan,2024-03-18,3.1127636,99.94169219,28.972918,78.53822,24.845833,0.0375,0.0375,1009.8375,56.25,0.20503932,0.8621388,9.144387,9.431223,194.07373,15.419999,0,0,Yes
Kepulauan Riau,Bintan,2024-04-02,1.01965765,104.5698189,28.532417,79.58605,24.519918,0.108333334,0.108333334,1005.8806,54.791668,0.20724505,0.8443148,5.8866825,8.280824,139.14746,13.335,0.18175,0.0675,Yes
Aceh,Aceh Besar,2024-04-04,-3.9839496,103.3249505,22.907,89.27927,20.996584,0.48333332,0.48333332,937.8097,99.916664,0.12712298,0.3213276,3.9744263,4.690203,214.52576,11.445,0.414,0.410875,Yes
Kalimantan Timur,Kota Bontang,2024-04-06,3.08018,117.240926,25.791166,93.439705,24.60575,0.5833333,0.5833333,1006.3562,93.375,0.11337787,0.23495828,5.3107495,8.37754,180.53625,14.474999,0.37758332,0.35975,Yes
Aceh,Bener Meriah,2024-04-06,3.23924,97.234497,26.424334,91.05073,24.816,0.14166667,0.14166667,1000.4184,77.666664,0.18098941,0.32053468,4.5542774,6.236872,183.99954,16.725,0.39595833,0.39654166,Yes
Aceh,Aceh Tenggara,2024-04-07,-3.9839496,103.3249505,22.940334,89.6399,21.098667,0.7083333,0.7083333,937.133,94.875,0.1269,0.3137162,3.4483645,3.8122318,175.95723,12.014999,0.41658333,0.42275,Yes
Kalimantan Timur,Kota Bontang,2024-04-11,3.08018,117.240926,26.851583,83.308525,23.597416,0.041666668,0.041666668,1007.24725,76.75,0.19425146,0.6653267,5.4706173,9.684552,178.3424,14.025,0.36679167,0.37279168,Yes
Kalimantan Timur,Penajam Paser Utara,2024-04-13,-1.1973862,116.5673033,27.601084,83.58168,24.369835,0.045833334,0.045833334,1005.3878,68.583336,0.18989208,0.67924756,4.5857277,9.176044,99.924484,11.8949995,0.42270833,0.44095832,Yes
Kalimantan Barat,Sambas,2024-04-20,1.6084229,109.1811618,27.826834,88.00147,25.556,0.112500004,0.112500004,1006.7248,91.875,0.17575435,0.49051514,6.669948,10.047203,142.12627,16.365,0.32279167,0.33020833,Yes
Aceh,Bener Meriah,2024-04-23,3.23924,97.234497,26.413918,92.99896,25.161833,0.34583333,0.34583333,999.8359,98.75,0.1670202,0.25191677,4.284939,5.8673005,194.68822,17.49,0.41525,0.42154166,Yes
Jawa Timur,Mojokerto,2024-05-12,-7.4725876,112.4340515,28.522333,71.70107,22.311916,0,0,1007.33563,62.958332,0.20598577,1.2733011,7.1519794,11.878451,177.416,17.505,0.218375,0.23441666,Yes
Riau,Indragiri Hulu,2024-05-23,-1.6342492,106.0051002,26.772,90.01926,24.94075,0.75,0.75,1007.43756,100,0.121317215,0.3756273,6.8141184,10.922081,168.52106,15.674999,0.40983334,0.40154168,Yes
Aceh,Aceh Selatan,2024-05-27,-3.9839496,103.3249505,23.736168,83.60359,20.70075,0.0625,0.0625,938.3464,70.916664,0.15641741,0.522401,5.0221477,6.073142,202.71556,13.349999,0.38695833,0.401625,Yes
Aceh,Aceh Besar,2024-05-29,-3.9839496,103.3249505,23.275751,86.7235,20.848667,0.020833334,0.020833334,938.0262,42.458332,0.15094675,0.4179249,4.651467,5.7960644,204.4708,13.275,0.37270832,0.37845832,Yes
Jawa Timur,Pasuruan,2024-06-18,-6.30304,106.896762,26.163334,86.9943,23.7175,0.5875,0.5875,1005.75934,79.875,0.12086173,0.4813973,5.122126,8.610779,136.63098,14.5199995,0.48029166,0.47241667,Yes
Nusa Tenggara Barat,Bima,2024-06-19,-8.615237,118.738413,24.825167,80.359924,20.829334,0,0,1002.71375,35.708332,0.16384515,0.7178003,7.333132,12.993665,176.92712,21.224998,0.17995833,0.19562499,Yes
Jambi,Muaro Jambi,2024-06-20,-1.4783315,103.6764008,25.666416,94.20182,24.64975,1.2791667,1.2791667,1007.7446,94.583336,0.10227565,0.19732314,4.8823767,8.664807,142.08891,13.469999,0.40908334,0.40804166,Yes
Sumatera Selatan,Musi Rawas Utara,2024-06-22,-2.6237377,102.7614606,25.7775,86.95278,23.34,0.18333334,0.18333334,1004.2864,99.291664,0.12215024,0.46901676,3.4197268,5.2143965,174.62674,10.485,0.386875,0.37629166,Yes
Sumatera Selatan,Ogan Ilir,2024-06-22,-4.275203,104.441251,25.61075,87.70718,23.308666,0.104166664,0.104166664,1001.6196,84.916664,0.15676759,0.45182213,6.1785336,10.313793,166.66437,14.07,0.46545833,0.47370833,Yes
Aceh,Aceh Besar,2024-06-22,-3.9839496,103.3249505,22.209084,88.136765,20.090334,0.36666667,0.36666667,939.00574,87.541664,0.12634787,0.3416093,4.8321533,6.792392,207.3064,13.889999,0.38425002,0.377875,Yes
Sumatera Selatan,Kota Prabumulih,2024-06-23,-3.406348,104.261447,26.801582,81.60269,23.189083,0,0,1005.3641,81.541664,0.17710413,0.71667075,8.55194,15.666414,140.95436,16.515,0.444625,0.44516668,Yes
Kalimantan Tengah,Barito Utara,2024-06-26,-0.75421105,115.0451447,26.028334,90.144005,24.080416,0.7375,0.7375,1005.5532,82.25,0.15992953,0.4068677,5.323147,10.177611,70.23633,15.615,0.405,0.39804167,Yes
Kalimantan Tengah,Kota Palangkaraya,2024-06-26,-2.2072919,113.9164372,26.292501,90.66557,24.446667,0.6,0.6,1007.0186,61.416668,0.16578266,0.39127183,4.239648,7.14663,149.6988,13.41,0.38604167,0.358125,Yes
Sumatera Utara,Padang Lawas Utara,2024-07-01,1.6364047,99.69103752,26.080751,85.95077,23.439085,0.525,0.525,993.0774,90.583336,0.14401162,0.5153477,5.699486,9.300317,172.66862,15.465,0.32858333,0.31054166,Yes
Aceh,Nagan Raya,2024-07-03,4.181243,96.52577259,25.80225,73.55713,20.348083,0.033333335,0.033333335,987.3525,78.666664,0.2040291,0.98204845,5.008412,5.9099064,148.9611,13.485,0.28245834,0.30470833,Yes
Sumatera Utara,Toba,2024-07-04,2.38545945,99.33146479,18.833082,87.64741,16.597666,0.125,0.125,871.6901,75,0.101378016,0.31062388,4.913888,9.795811,237.52005,16.125,0.44008332,0.44795832,Yes
