Tanggal,Latitude,Longitude
2023-08-03,5.887897,10.01103
2023-08-09,-8.73413,117.496
2023-08-14,0.365294,108.9599
2023-08-20,43.17601,21.15011
2023-09-01,-6.88628,107.5537
2023-09-07,-7.33026,110.4995
2023-09-12,-7.47259,112.4341
2023-09-18,2.970342,99.80209
2023-09-23,-0.68181,100.7786
2023-09-29,-6.03276,106.1637
2023-10-04,5.887897,10.01103
2023-10-10,-8.70307,116.2899
2023-10-15,0.81935,109.4836
2023-10-21,-4.83449,119.5472
2023-11-01,-7.6022,108.1158
2023-11-07,-7.4279,109.2409
2023-11-12,-7.81111,112.0046
2023-11-18,1.741088,98.77232
2023-11-23,-0.46546,100.3932
2023-11-29,-6.58504,106.4076
2023-12-04,25.14569,121.4035
2023-12-10,52.95812,4.757485
2023-12-15,0.477854,111.5936
2023-12-21,-4.40262,119.6203
2023-01-07,-5.52093,105.5728
2023-01-14,-6.80782,110.8417
2023-01-20,-7.62908,111.5169
2023-01-25,3.56037,98.87669
2023-01-31,-0.62639,100.1178
2023-02-05,-6.31598,106.6775
2023-02-11,-8.44643,115.6136
2023-02-16,-8.48986,117.4196
2023-02-22,1.608423,109.1812
2023-02-27,-4.82243,119.4951
2023-03-04,-6.93422,107.7223
2023-03-10,-7.53138,110.5973
2023-03-15,-8.17291,113.7031
2023-03-21,3.75463,98.45811
2023-03-26,-0.56909,100.277
2023-04-01,-6.03276,106.1637
2023-04-06,25.14569,121.4035
2023-04-12,-8.63309,116.5588
2023-04-17,0.02354,110.8906
2023-04-23,-3.96558,120.1279
2023-05-03,-6.33136,107.3336
2023-05-09,-7.70775,110.5999
2023-05-14,-8.13521,113.2244
2023-05-20,3.51734,98.79267
2023-05-25,1.744744,33.09329
2023-05-31,-6.11239,106.1586
2023-06-05,5.887897,10.01103
2023-06-11,-8.61524,118.7384
2023-06-16,-0.72394,111.656
2023-06-22,-4.31887,119.9185
2023-07-03,-6.59141,107.402
2023-07-09,-7.42773,111.0235
2023-07-14,-8.09824,112.1651
2023-07-20,3.695243,98.83107
2023-07-25,0.322549,100.1716
2023-07-31,-6.03276,106.1637
2023-08-05,5.887897,10.01103
2023-08-11,-8.51648,118.3312
2023-08-16,0.827426,112.7965
2023-08-22,-5.40665,119.5375
2023-09-03,-6.49839,107.7395
2023-09-09,-7.8142,110.926
2023-09-14,-8.0729,111.8996
2023-09-20,3.829386,98.24835
2023-09-25,-0.59301,100.5595
2023-10-01,-6.03276,106.1637
2023-10-06,5.887897,10.01103
2023-10-12,-8.70307,116.2899
2023-10-17,0.1927,111.5598
2023-10-23,-4.82243,119.4951
2023-11-05,-6.44185,108.1765
2023-11-11,-7.09809,110.8967
2023-11-16,-8.04908,111.7091
2023-11-22,3.112764,99.94169
2023-11-27,0.187538,99.69352
2023-12-02,-6.11239,106.1586
2023-12-08,25.14569,121.4035
2023-12-13,52.95812,4.757485
2023-12-19,0.81935,109.4836
2023-12-25,-5.54449,119.612
